14 Iced Bears,shoegaze
14 Iced Bears,dream pop
14 Iced Bears,indie pop
Moses Boyd Exodus,nu jazz
Moses Boyd Exodus,jazz
All Forgotten,post-hardcore
OneRepublic,soft pop
Harmonia,krautrock
Harmonia,space rock
Harmonia,avant-garde
The Connectors,j-rock
The Connectors,shibuya-kei
Motu,uk funky
Mrs Frighthouse,sludge metal
Martha Wainwright,singer-songwriter
The Creatures,post-punk
The Creatures,deathrock
The Creatures,darkwave
The Creatures,new wave
Max & Harvey,neoclassical
Max & Harvey,minimalism
Max & Harvey,classical
Max & Harvey,ambient
The National,indie rock
Basshunter,eurodance
Basshunter,europop
The Vryll Society,psychedelic pop
Jimi Hendrix,psychedelic rock
Jimi Hendrix,classic rock
Jimi Hendrix,acid rock
Jimi Hendrix,blues rock
Henry Wu,nu jazz
Sergeant,arena rock
Sergeant,album rock
Smudj,drum and bass
Smudj,bassline
Stampin’ Ground,groove metal
Stampin’ Ground,hardcore
Stampin’ Ground,hardcore punk
Stampin’ Ground,metalcore
Milk Crimes,folk punk
Milk Crimes,math rock
Blind Haze,stoner rock
The Everly Brothers,doo-wop
Frànçois & the Atlas Mountains,classical piano
Frànçois & the Atlas Mountains,classical
Katherine Jenkins,opera
Katherine Jenkins,classical
Pete Burns,hi-nrg
Pete Burns,eurodance
Meryl Streek,musicals
Patent Pending,pop punk
Buddy Whittington,blues
Buddy Whittington,blues rock
Buddy Whittington,modern blues
Moonshine Wagon,folk punk
Moonshine Wagon,gothic country
Moonshine Wagon,bluegrass
Grimes,art pop
Grimes,indietronica
The Pleasure Dome,post-punk
The Pleasure Dome,noise rock
Engine Alley,art rock
Slap Rash,post-punk
V2,ebm
V2,industrial
V2,hardcore techno
V2,rage rap
V2,darkwave
Home Counties,post-punk
Perfume,j-pop
Perfume,shibuya-kei
Perfume,j-dance
Mark System,drum and bass
Mark System,liquid funk
Mark System,jungle
Floral,math rock
Floral,midwest emo
Floral,post-rock
Daisy Chains,noise rock
Chromatics,dream pop
Albert Cummings,blues
Albert Cummings,blues rock
Albert Cummings,modern blues
Aviator,album rock
Aviator,arena rock
Aviator,glam metal
oso oso,midwest emo
oso oso,math rock
Nordic Giants,post-rock
Reef,britpop
Leftöver Crack,ska punk
Leftöver Crack,punk
Leftöver Crack,ska
Leftöver Crack,folk punk
Leftöver Crack,hardcore punk
Leftöver Crack,skate punk
Teddy and the Rough Riders,alt country
Teddy and the Rough Riders,americana
The Nightingales,post-punk
The Nightingales,new wave
Wire,post-punk
Wire,proto-punk
Wire,new wave
Wire,punk
Ellis Murphy,uk garage
Ellis Murphy,breakbeat
Ellis Murphy,bassline
Ellis Murphy,uk funky
New Groove,disco house
The Primitives,jangle pop
Neck Deep,pop punk
Neck Deep,emo
Neck Deep,punk
Cainhurst,screamo
The Instigators,hardcore punk
Municipal Waste,thrash metal
Municipal Waste,speed metal
Municipal Waste,groove metal
Municipal Waste,metal
Municipal Waste,hardcore punk
The Hives,garage rock
White Rose Movement,new rave
White Rose Movement,electroclash
White Rose Movement,electronic rock
